,Unnamed: 0,Unnamed: 0.1,ID,Title,Type,Number of Scanlation group,Awarded,Japanese publihsers,Oneshot,Scan start day,Scan latest day,Digitally published first by publisher,Simulus translate,Publish status,Completely scanlated,Artist,Publish year,Licensed,name of English publisher,English publishing status,Anime,Rating,Vote number,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
10,0,,44038,Reo-kun,Manga,0,False,Shogakukan,False,Pass,Pass,False,False,Complete,No,HAGIO Moto,2007,Yes,Denpa,,False,Not rated,Not rated,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,0,,151445,Replay (TSUKAHARA Saki),Manga,0,False,Gentosha,False,Pass,Pass,False,False,Complete,No,TSUKAHARA Saki,2018,Yes,TokyoPop,1 Vol - Complete,False,8,4,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
12,0,,149114,Reset Game,Manga,1,False,"ComicSmart, Tokuma Shoten",False,05/08/18,06/26/20,False,False,Ongoing,No,YOSHIKAI Kanji,2014,Yes,Mangamo,2020; Digital,False,6.9,6,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0
13,0,,7414,Restart,Manga,1,False,"Gentosha, Libre Shuppan",False,03/23/07,03/23/07,False,False,Complete,Yes,HIDAKA Shoko,2006,Yes,Juné,1 Volume - Complete/Print - Expired,False,7.9,251,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
14,0,,155506,Resurrecting Queen,Manhua,0,False,"Dongman Manhua, iQIYI, Manhuatai",False,Pass,Pass,False,False,Ongoing,No,JMCOMIC,2018,Yes,MangaToon,,False,5.3,8,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
15,0,,136260,Retsujo Love Cross,Manga,1,False,Takeshobo,False,07/20/17,12/04/18,False,False,Complete,Yes,MATSUYOSHI Aco,2016,Yes,Renta!,,False,7.4,52,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
16,0,,129743,Retsujou Mixture,Manga,1,False,GOT,False,10/13/13,10/13/13,False,False,Complete,No,ITOU Eight,2015,Yes,FAKKU Books,,False,3.6,7,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,0,,146684,Retsujou PARADOX,Manga,0,False,IProduction,False,Pass,Pass,False,False,Complete,Yes,SILVA,2017,Yes,Renta!,March 2020,False,8.2,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
18,0,,25131,Return to Labyrinth,OEL,0,False,,False,Pass,Pass,False,False,Ongoing,No,"Chris Lie, SHUREI Kouyu",2006,Yes,TokyoPop,,False,7.2,23,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19,0,,153310,Returning Student,Manhwa,0,False,Lezhin,False,Pass,Pass,False,False,Ongoing,Yes,Oryu,2019,Yes,Lezhin,,False,7.5,28,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0
