,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Name,Active or not,Release Frequency,Number of Release,Total Series,First Update,Lastest Update,Action,Adult,Adventure,Comedy,Doujinshi,Drama,Ecchi,Fantasy,Gender Bender,Harem,Hentai,Historical,Horror,Josei,Lolicon,Martial Arts,Mature,Mecha,Mystery,Psychological,Romance,School Life,Sci-fi,Seinen,Shotacon,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life,Smut,Sports,Supernatural,Tragedy,Yaoi,Yuri
2774,2785,10,0,Fujoshi Bitches,Yes,Often. About every 5 to 6 day(s),576,251,10/13/13,07/23/20,4,11,1,52,59,60,0,4,0,0,0,3,1,0,0,0,6,0,1,2,119,28,3,0,1,0,0,0,20,36,31,6,4,2,178,0
2775,2786,11,0,Fujoshi Ninja,No,Inactive Group,19,3,06/11/13,06/14/16,0,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0
2776,2787,12,0,Fujoshi Queen Scan,Yes,Infrequently,1,1,08/01/20,08/01/20,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2777,2788,13,0,Fujoshi Scans,No,Inactive Group,31,8,03/20/18,02/24/19,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,1,1,2,0,1,0,7,0
2778,2789,14,0,Fujoshi Spirit,No,Inactive Group,15,3,08/03/11,07/07/13,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0
2779,2790,15,0,Fujoshi Undercover,Yes,Infrequently,28,11,10/04/18,03/22/20,0,0,0,0,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,1,0,0,0,0,0,7,0
2780,2791,16,0,fujoshideru,No,Inactive Group,1,1,09/21/16,09/21/16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2781,2792,17,0,Fujoshis Sisters,No,Inactive Group,1,1,11/17/17,11/17/17,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
2782,2793,18,0,Fuk Scans,No,Inactive Group,7,3,12/04/19,12/12/19,2,0,3,1,0,0,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
2783,2794,19,0,fukasenanairo,No,Inactive Group,55,4,06/09/15,11/19/16,2,0,0,3,0,2,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,2,0,0,0,1,0,0,0,0,4,0,0,0
2784,2795,20,0,Fukashigi,Yes,Occasionally. About every 11 day(s),71,14,02/06/19,07/18/20,0,0,0,6,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6,4,0,2,0,3,0,0,0,3,0,1,1,0,0,0
